2026-08-05T17:37:06.192722540Z [inf]  Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/643fa160-f6a2-4092-a575-213997098464/vol_rtzzjoki33d2gyu7
2026-08-05T17:37:59.594221156Z [err]  2026-08-05 17:37:59,592 [INFO] chat_service: [TTS] 豆包 TTS 成功
2026-08-05T17:37:59.594224067Z [err]  2026-08-05 17:37:59,592 [INFO] chat_service: [TTS] 豆包生成成功: /uploads/tts/47a38eacd02e.mp3
2026-08-05T17:37:59.594227221Z [err]  2026-08-05 17:37:59,592 [INFO] chat_router: [chat/start] 响应耗时: 5259ms, has_audio=True
2026-08-05T17:37:59.594230630Z [err]  2026-08-05 17:37:59,592 [INFO] main: [REQ] 100.64.0.7 — POST /api/chat/start → 200 (5259ms)
2026-08-05T17:37:59.594233659Z [inf]  INFO:     100.64.0.7:25048 - "POST /api/chat/start HTTP/1.1" 200 OK
2026-08-05T17:37:59.876673121Z [err]  2026-08-05 17:37:59,870 [INFO] main: [REQ] 100.64.0.8 — GET /uploads/tts/47a38eacd02e.mp3 → 206 (1ms)
2026-08-05T17:37:59.876676354Z [inf]  INFO:     100.64.0.8:46128 - "GET /uploads/tts/47a38eacd02e.mp3 HTTP/1.1" 206 Partial Content
2026-08-05T17:38:19.872503297Z [err]  INFO:     100.64.0.2:43702 - "WebSocket /api/chat/asr-stream" [accepted]
2026-08-05T17:38:19.872507123Z [err]  2026-08-05 17:38:19,116 [INFO] chat_router: [ASR-Stream] 前端 WebSocket 已连接 client=100.64.0.2:43702
2026-08-05T17:38:19.872510218Z [err]  2026-08-05 17:38:19,116 [INFO] asr_service: [ASR-Stream] 连接火山 WebSocket: wss://openspeech.bytedance.com/api/v3/sauc/bigmodel resource=volc.bigasr.sauc.duration
2026-08-05T17:38:19.872513160Z [err]  INFO:     connection open
2026-08-05T17:38:19.993213714Z [err]  2026-08-05 17:38:19,990 [INFO] asr_service: [ASR-Stream] WebSocket 已连接
2026-08-05T17:38:19.993218290Z [err]  2026-08-05 17:38:19,990 [INFO] asr_service: [ASR-Stream] 已发送 FullClientRequest
2026-08-05T17:38:19.993223673Z [err]  2026-08-05 17:38:19,990 [INFO] chat_router: [ASR-Stream] 火山流式 ASR 就绪，等待前端音频...
2026-08-05T17:38:19.993228103Z [err]  2026-08-05 17:38:19,991 [INFO] chat_router: [ASR-Stream←前端] 音频帧 #1 size=8192B samples=4096 all_zero=False zero_pct=10.9% first10=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2026-08-05T17:38:19.993232776Z [err]  2026-08-05 17:38:19,992 [INFO] asr_service: [ASR-Stream→火山] 音频包 #1 seq=2 pcm_raw=8192B compressed=5928B
2026-08-05T17:38:19.993237195Z [err]  2026-08-05 17:38:19,992 [INFO] chat_router: [ASR-Stream←前端] 音频帧 #1 大小=8192B
2026-08-05T17:38:19.995066177Z [err]  2026-08-05 17:38:19,992 [INFO] chat_router: [ASR-Stream←前端] 音频帧 #2 size=8192B samples=4096 all_zero=False zero_pct=0.2% first10=[227, 210, 244, 289, 223, 193, 60, 0, -73, -117]
2026-08-05T17:38:19.995072405Z [err]  2026-08-05 17:38:19,993 [INFO] asr_service: [ASR-Stream→火山] 音频包 #2 seq=3 pcm_raw=8192B compressed=6982B
2026-08-05T17:38:19.995077382Z [err]  2026-08-05 17:38:19,993 [INFO] chat_router: [ASR-Stream←前端] 音频帧 #2 大小=8192B
2026-08-05T17:38:20.465759556Z [err]  2026-08-05 17:38:20,376 [INFO] asr_service: [ASR-Stream←火山] 响应 #2 msg_type=9 flags=1 is_final=False payload_size=116 text=''
2026-08-05T17:38:20.465766046Z [err]  2026-08-05 17:38:20,376 [WARNING] asr_service: [ASR-Stream←火山] 响应 #2 text为空 payload_size=116 body: (empty)
2026-08-05T17:38:20.465776636Z [err]  2026-08-05 17:38:20,357 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=1 raw_header=[17, 145, 16, 0, 0, 0, 0, 1, 0, 0, 0, 110]
2026-08-05T17:38:20.465780879Z [err]  2026-08-05 17:38:20,357 [WARNING] asr_service: [ASR-Stream←火山] 响应 #1 text为空 payload_size=114 body: (empty)
2026-08-05T17:38:20.465784564Z [err]  2026-08-05 17:38:20,357 [INFO] asr_service: [ASR-Stream←火山] 响应 #1 msg_type=9 flags=1 is_final=False payload_size=114 text=''
2026-08-05T17:38:20.465789555Z [err]  2026-08-05 17:38:20,376 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=2 exc=Expecting value: line 1 column 1 (char 0) first_bytes=0000
2026-08-05T17:38:20.465793037Z [err]  2026-08-05 17:38:20,155 [INFO] chat_router: [ASR-Stream←前端] 音频帧 #3 size=8192B samples=4096 all_zero=False zero_pct=0.2% first10=[3, 28, -3, -1, 23, -41, -67, -63, -37, -27]
2026-08-05T17:38:20.465795953Z [err]  2026-08-05 17:38:20,376 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=2 raw_header=[17, 145, 16, 0, 0, 0, 0, 2, 0, 0, 0, 112]
2026-08-05T17:38:20.465822956Z [err]  2026-08-05 17:38:20,156 [INFO] asr_service: [ASR-Stream→火山] 音频包 #3 seq=4 pcm_raw=8192B compressed=7013B
2026-08-05T17:38:20.465831203Z [err]  2026-08-05 17:38:20,156 [INFO] chat_router: [ASR-Stream←前端] 音频帧 #3 大小=8192B
2026-08-05T17:38:20.465835987Z [err]  2026-08-05 17:38:20,357 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=1 exc=Expecting value: line 1 column 1 (char 0) first_bytes=00
2026-08-05T17:38:20.466796557Z [err]  2026-08-05 17:38:20,395 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=3 exc=Expecting value: line 1 column 1 (char 0) first_bytes=000000
2026-08-05T17:38:20.466800043Z [err]  2026-08-05 17:38:20,395 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=3 raw_header=[17, 145, 16, 0, 0, 0, 0, 3, 0, 0, 0, 112]
2026-08-05T17:38:20.466803214Z [err]  2026-08-05 17:38:20,395 [INFO] asr_service: [ASR-Stream←火山] 响应 #3 msg_type=9 flags=1 is_final=False payload_size=116 text=''
2026-08-05T17:38:20.466807209Z [err]  2026-08-05 17:38:20,395 [WARNING] asr_service: [ASR-Stream←火山] 响应 #3 text为空 payload_size=116 body: (empty)
2026-08-05T17:38:20.466810932Z [err]  2026-08-05 17:38:20,396 [INFO] asr_service: [ASR-Stream→火山] 音频包 #4 seq=5 pcm_raw=8192B compressed=7562B
2026-08-05T17:38:20.560248479Z [err]  2026-08-05 17:38:20,555 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=4 exc=Expecting value: line 1 column 1 (char 0) first_bytes=00000070
2026-08-05T17:38:20.560253202Z [err]  2026-08-05 17:38:20,555 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=4 raw_header=[17, 145, 16, 0, 0, 0, 0, 4, 0, 0, 0, 112]
2026-08-05T17:38:20.560256237Z [err]  2026-08-05 17:38:20,555 [INFO] asr_service: [ASR-Stream←火山] 响应 #4 msg_type=9 flags=1 is_final=False payload_size=116 text=''
2026-08-05T17:38:20.560259426Z [err]  2026-08-05 17:38:20,555 [WARNING] asr_service: [ASR-Stream←火山] 响应 #4 text为空 payload_size=116 body: (empty)
2026-08-05T17:38:20.678286677Z [err]  2026-08-05 17:38:20,667 [INFO] asr_service: [ASR-Stream→火山] 音频包 #5 seq=6 pcm_raw=8192B compressed=7312B
2026-08-05T17:38:20.828821519Z [err]  2026-08-05 17:38:20,827 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=5 exc=Expecting value: line 1 column 1 (char 0) first_bytes=000001227b
2026-08-05T17:38:20.828826453Z [err]  2026-08-05 17:38:20,827 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=5 raw_header=[17, 145, 16, 0, 0, 0, 0, 5, 0, 0, 1, 34]
2026-08-05T17:38:20.828829988Z [err]  2026-08-05 17:38:20,827 [INFO] asr_service: [ASR-Stream←火山] 响应 #5 msg_type=9 flags=1 is_final=False payload_size=294 text=''
2026-08-05T17:38:20.828833161Z [err]  2026-08-05 17:38:20,827 [WARNING] asr_service: [ASR-Stream←火山] 响应 #5 text为空 payload_size=294 body: (empty)
2026-08-05T17:38:21.448621816Z [err]  2026-08-05 17:38:21,094 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=6 exc='utf-8' codec can't decode byte 0x9d in position 3: invalid start byte first_bytes=0000019d7b22
2026-08-05T17:38:21.448625617Z [err]  2026-08-05 17:38:21,094 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=6 raw_header=[17, 145, 16, 0, 0, 0, 0, 6, 0, 0, 1, 157]
2026-08-05T17:38:21.448629107Z [err]  2026-08-05 17:38:21,094 [INFO] asr_service: [ASR-Stream←火山] 响应 #6 msg_type=9 flags=1 is_final=False payload_size=417 text=''
2026-08-05T17:38:21.448632067Z [err]  2026-08-05 17:38:21,094 [WARNING] asr_service: [ASR-Stream←火山] 响应 #6 text为空 payload_size=417 body: (empty)
2026-08-05T17:38:21.448635413Z [err]  2026-08-05 17:38:21,233 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=7 exc='utf-8' codec can't decode byte 0x8d in position 3: invalid start byte first_bytes=0000018d7b2261
2026-08-05T17:38:21.448638647Z [err]  2026-08-05 17:38:21,233 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=7 raw_header=[17, 145, 16, 0, 0, 0, 0, 7, 0, 0, 1, 141]
2026-08-05T17:38:21.448642048Z [err]  2026-08-05 17:38:21,234 [INFO] asr_service: [ASR-Stream←火山] 响应 #7 msg_type=9 flags=1 is_final=False payload_size=401 text=''
2026-08-05T17:38:21.448646363Z [err]  2026-08-05 17:38:21,234 [WARNING] asr_service: [ASR-Stream←火山] 响应 #7 text为空 payload_size=401 body: (empty)
2026-08-05T17:38:21.591162890Z [err]  2026-08-05 17:38:21,586 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=8 exc='utf-8' codec can't decode byte 0x8d in position 3: invalid start byte first_bytes=0000018d7b226175
2026-08-05T17:38:21.591166923Z [err]  2026-08-05 17:38:21,586 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=8 raw_header=[17, 145, 16, 0, 0, 0, 0, 8, 0, 0, 1, 141]
2026-08-05T17:38:21.591169874Z [err]  2026-08-05 17:38:21,586 [INFO] asr_service: [ASR-Stream←火山] 响应 #8 msg_type=9 flags=1 is_final=False payload_size=401 text=''
2026-08-05T17:38:21.591173414Z [err]  2026-08-05 17:38:21,586 [WARNING] asr_service: [ASR-Stream←火山] 响应 #8 text为空 payload_size=401 body: (empty)
2026-08-05T17:38:21.821196223Z [err]  2026-08-05 17:38:21,817 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=9 exc='utf-8' codec can't decode byte 0xf4 in position 3: invalid continuation byte first_bytes=000001f47b22617564
2026-08-05T17:38:21.821199189Z [err]  2026-08-05 17:38:21,817 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=9 raw_header=[17, 145, 16, 0, 0, 0, 0, 9, 0, 0, 1, 244]
2026-08-05T17:38:21.821202216Z [err]  2026-08-05 17:38:21,817 [INFO] asr_service: [ASR-Stream←火山] 响应 #9 msg_type=9 flags=1 is_final=False payload_size=504 text=''
2026-08-05T17:38:21.821205112Z [err]  2026-08-05 17:38:21,817 [WARNING] asr_service: [ASR-Stream←火山] 响应 #9 text为空 payload_size=504 body: (empty)
2026-08-05T17:38:22.451635950Z [err]  2026-08-05 17:38:22,385 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=11 exc='utf-8' codec can't decode byte 0xbc in position 3: invalid start byte first_bytes=000002bc7b22617564696f
2026-08-05T17:38:22.451643389Z [err]  2026-08-05 17:38:22,385 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=11 raw_header=[17, 145, 16, 0, 0, 0, 0, 11, 0, 0, 2, 188]
2026-08-05T17:38:22.451647658Z [err]  2026-08-05 17:38:22,385 [INFO] asr_service: [ASR-Stream←火山] 响应 #11 msg_type=9 flags=1 is_final=False payload_size=704 text=''
2026-08-05T17:38:22.451651565Z [err]  2026-08-05 17:38:22,385 [WARNING] asr_service: [ASR-Stream←火山] 响应 #11 text为空 payload_size=704 body: (empty)
2026-08-05T17:38:22.451714000Z [err]  2026-08-05 17:38:22,104 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=10 exc=Expecting value: line 1 column 1 (char 0) first_bytes=0000025b7b2261756469
2026-08-05T17:38:22.451717712Z [err]  2026-08-05 17:38:22,104 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=10 raw_header=[17, 145, 16, 0, 0, 0, 0, 10, 0, 0, 2, 91]
2026-08-05T17:38:22.451721034Z [err]  2026-08-05 17:38:22,104 [INFO] asr_service: [ASR-Stream←火山] 响应 #10 msg_type=9 flags=1 is_final=False payload_size=607 text=''
2026-08-05T17:38:22.451725572Z [err]  2026-08-05 17:38:22,104 [WARNING] asr_service: [ASR-Stream←火山] 响应 #10 text为空 payload_size=607 body: (empty)
2026-08-05T17:38:22.530330975Z [err]  2026-08-05 17:38:22,527 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=12 exc='utf-8' codec can't decode byte 0xbc in position 3: invalid start byte first_bytes=000002bc7b22617564696f5f
2026-08-05T17:38:22.530338995Z [err]  2026-08-05 17:38:22,527 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=12 raw_header=[17, 145, 16, 0, 0, 0, 0, 12, 0, 0, 2, 188]
2026-08-05T17:38:22.530344928Z [err]  2026-08-05 17:38:22,527 [INFO] asr_service: [ASR-Stream←火山] 响应 #12 msg_type=9 flags=1 is_final=False payload_size=704 text=''
2026-08-05T17:38:22.530351037Z [err]  2026-08-05 17:38:22,527 [WARNING] asr_service: [ASR-Stream←火山] 响应 #12 text为空 payload_size=704 body: (empty)
2026-08-05T17:38:23.457371439Z [err]  2026-08-05 17:38:23,300 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=13 exc=Expecting value: line 1 column 1 (char 0) first_bytes=0000031d7b22617564696f5f69
2026-08-05T17:38:23.457375579Z [err]  2026-08-05 17:38:23,300 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=13 raw_header=[17, 145, 16, 0, 0, 0, 0, 13, 0, 0, 3, 29]
2026-08-05T17:38:23.457378796Z [err]  2026-08-05 17:38:23,300 [INFO] asr_service: [ASR-Stream←火山] 响应 #13 msg_type=9 flags=1 is_final=False payload_size=801 text=''
2026-08-05T17:38:23.457382234Z [err]  2026-08-05 17:38:23,300 [WARNING] asr_service: [ASR-Stream←火山] 响应 #13 text为空 payload_size=801 body: (empty)
2026-08-05T17:38:23.597021755Z [err]  2026-08-05 17:38:23,591 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=14 exc='utf-8' codec can't decode byte 0x81 in position 3: invalid start byte first_bytes=000003817b22617564696f5f696e
2026-08-05T17:38:23.597024757Z [err]  2026-08-05 17:38:23,591 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=14 raw_header=[17, 145, 16, 0, 0, 0, 0, 14, 0, 0, 3, 129]
2026-08-05T17:38:23.597027458Z [err]  2026-08-05 17:38:23,591 [INFO] asr_service: [ASR-Stream←火山] 响应 #14 msg_type=9 flags=1 is_final=False payload_size=901 text=''
2026-08-05T17:38:23.597030399Z [err]  2026-08-05 17:38:23,591 [WARNING] asr_service: [ASR-Stream←火山] 响应 #14 text为空 payload_size=901 body: (empty)
2026-08-05T17:38:23.742284196Z [err]  2026-08-05 17:38:23,737 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=15 exc='utf-8' codec can't decode byte 0xeb in position 3: invalid continuation byte first_bytes=000003eb7b22617564696f5f696e66
2026-08-05T17:38:23.742288619Z [err]  2026-08-05 17:38:23,737 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=15 raw_header=[17, 145, 16, 0, 0, 0, 0, 15, 0, 0, 3, 235]
2026-08-05T17:38:23.742291605Z [err]  2026-08-05 17:38:23,737 [INFO] asr_service: [ASR-Stream←火山] 响应 #15 msg_type=9 flags=1 is_final=False payload_size=1007 text=''
2026-08-05T17:38:23.742294700Z [err]  2026-08-05 17:38:23,737 [WARNING] asr_service: [ASR-Stream←火山] 响应 #15 text为空 payload_size=1007 body: (empty)
2026-08-05T17:38:23.856877598Z [err]  2026-08-05 17:38:23,853 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=16 exc='utf-8' codec can't decode byte 0xfb in position 3: invalid start byte first_bytes=000003fb7b22617564696f5f696e666f
2026-08-05T17:38:23.856881459Z [err]  2026-08-05 17:38:23,853 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=16 raw_header=[17, 145, 16, 0, 0, 0, 0, 16, 0, 0, 3, 251]
2026-08-05T17:38:23.856884763Z [err]  2026-08-05 17:38:23,853 [INFO] asr_service: [ASR-Stream←火山] 响应 #16 msg_type=9 flags=1 is_final=False payload_size=1023 text=''
2026-08-05T17:38:23.856887462Z [err]  2026-08-05 17:38:23,853 [WARNING] asr_service: [ASR-Stream←火山] 响应 #16 text为空 payload_size=1023 body: (empty)
2026-08-05T17:38:23.901663641Z [err]  2026-08-05 17:38:23,887 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=17 exc='utf-8' codec can't decode byte 0xeb in position 3: invalid continuation byte first_bytes=000003eb7b22617564696f5f696e666f22
2026-08-05T17:38:23.901668361Z [err]  2026-08-05 17:38:23,887 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=17 raw_header=[17, 145, 16, 0, 0, 0, 0, 17, 0, 0, 3, 235]
2026-08-05T17:38:23.901672608Z [err]  2026-08-05 17:38:23,887 [INFO] asr_service: [ASR-Stream←火山] 响应 #17 msg_type=9 flags=1 is_final=False payload_size=1007 text=''
2026-08-05T17:38:23.901677425Z [err]  2026-08-05 17:38:23,887 [WARNING] asr_service: [ASR-Stream←火山] 响应 #17 text为空 payload_size=1007 body: (empty)
2026-08-05T17:38:24.485901610Z [err]  2026-08-05 17:38:24,135 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=18 raw_header=[17, 145, 16, 0, 0, 0, 0, 18, 0, 0, 3, 235]
2026-08-05T17:38:24.485908387Z [err]  2026-08-05 17:38:24,135 [INFO] asr_service: [ASR-Stream←火山] 响应 #18 msg_type=9 flags=1 is_final=False payload_size=1007 text=''
2026-08-05T17:38:24.485911750Z [err]  2026-08-05 17:38:24,135 [WARNING] asr_service: [ASR-Stream←火山] 响应 #18 text为空 payload_size=1007 body: (empty)
2026-08-05T17:38:24.485916395Z [err]  2026-08-05 17:38:24,298 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=19 exc='utf-8' codec can't decode byte 0xeb in position 3: invalid continuation byte first_bytes=000003eb7b22617564696f5f696e666f223a7b
2026-08-05T17:38:24.485920104Z [err]  2026-08-05 17:38:24,298 [WARNING] asr_service: [ASR] 响应无法解析 msg_type=9 flags=1 compression=0 serialization=1 payload_size=19 raw_header=[17, 145, 16, 0, 0, 0, 0, 19, 0, 0, 3, 235]
2026-08-05T17:38:24.485924513Z [err]  2026-08-05 17:38:24,298 [INFO] asr_service: [ASR-Stream←火山] 响应 #19 msg_type=9 flags=1 is_final=False payload_size=1007 text=''
2026-08-05T17:38:24.485927683Z [err]  2026-08-05 17:38:24,298 [WARNING] asr_service: [ASR-Stream←火山] 响应 #19 text为空 payload_size=1007 body: (empty)
2026-08-05T17:38:24.485931008Z [err]  2026-08-05 17:38:24,438 [INFO] asr_service: [ASR-Stream→火山] 已发送 20 个音频包, 最近 pcm_raw=4096B
2026-08-05T17:38:24.485934625Z [err]  2026-08-05 17:38:24,443 [INFO] chat_router: [ASR-Stream] 前端请求停止（已收20个音频包）
2026-08-05T17:38:24.486008338Z [err]  2026-08-05 17:38:24,135 [WARNING] asr_service: [ASR] JSON 解析失败 decompressed=False compression=0 serialization=1 payload_size=18 exc='utf-8' codec can't decode byte 0xeb in position 3: invalid continuation byte first_bytes=000003eb7b22617564696f5f696e666f223a
2026-08-05T17:38:24.486889027Z [err]  2026-08-05 17:38:24,443 [INFO] asr_service: [ASR-Stream] 已发送结束帧（负包）
